OWNER;TABLE_NAME;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COMMENTS;CONSTRAINTS
CADASTRO;ADVOGADO;30213;N;4;COD_UF;NUMBER;22;N;0;3;27;0;NO;Codigo da UF do advogado;FK_ADVOGADO_R_UF (FOREIGN KEY: ENABLED)- SYS_C00105382 (C: ENABLED)
CADASTRO;ADVOGADO;30213;N;11;DAT_MOVIMENTO;DATE;7;Y;;5;13035;16885;NO;Data da movimenta��o; (: )
CADASTRO;ADVOGADO;30213;N;3;NOM_ADVOGADO;VARCHAR2;60;N;;28;29448;0;NO;"Nome do Advogado
";SYS_C00105381 (C: ENABLED)
CADASTRO;ADVOGADO;30213;N;7;NOM_EMAIL;VARCHAR2;150;Y;;15;15431;14189;NO;E-mail do Advogado; (: )
CADASTRO;ADVOGADO;30213;N;8;NUM_CELULAR;VARCHAR2;12;Y;;7;14494;15145;NO;Numero do telefone celular do advogado; (: )
CADASTRO;ADVOGADO;30213;N;5;NUM_CPF_ADVOGADO;NUMBER;22;Y;0;7;25588;3779;NO;Numero do CPF do advogado; (: )
CADASTRO;ADVOGADO;30213;N;2;NUM_INSCRICAO_OAB;VARCHAR2;10;Y;;6;27978;94;NO;Numero da inscri��o da OAB; (: )
CADASTRO;ADVOGADO;30213;N;6;NUM_TELEFONE;VARCHAR2;12;Y;;7;14636;13969;NO;Numero do telefone do Advogado; (: )
CADASTRO;ADVOGADO;30213;N;1;SEQ_ADVOGADO;NUMBER;22;N;0;5;30213;0;NO;Sequencial do Advogado;PK_ADVOGADO (PRIMARY KEY: ENABLED)- SYS_C00105379 (C: ENABLED)
CADASTRO;ADVOGADO;30213;N;9;SEQ_USUARIO;NUMBER;22;Y;0;3;170;17177;NO;Seq�encial do usu�rio;FK_ADVOGADO_R_USUARIO (FOREIGN KEY: ENABLED)
CADASTRO;ADVOGADO;30213;N;10;STA_DEFENSOR_PUBLICO;VARCHAR2;1;Y;;2;2;0;NO;"Status que indica se o advogado � Defensor Publico
S- � defensor p�blico
N- n�o � defensor p�blico";CKC_STA_DEFENSOR_PUBL_ADVOGADO (C: ENABLED)
CADASTRO;ADVOGADO_20100512;14768;N;4;COD_UF;NUMBER;22;N;0;3;18;0;NO;;SYS_C00105387 (C: ENABLED)
CADASTRO;ADVOGADO_20100512;14768;N;3;NOM_ADVOGADO;VARCHAR2;60;N;;28;14722;0;NO;;SYS_C00105386 (C: ENABLED)
CADASTRO;ADVOGADO_20100512;14768;N;7;NOM_EMAIL;VARCHAR2;40;Y;;2;16;14752;NO;; (: )
CADASTRO;ADVOGADO_20100512;14768;N;8;NUM_CELULAR;VARCHAR2;12;Y;;2;43;14724;NO;; (: )
CADASTRO;ADVOGADO_20100512;14768;N;5;NUM_CPF_ADVOGADO;NUMBER;22;Y;0;7;12309;2421;NO;; (: )
CADASTRO;ADVOGADO_20100512;14768;N;2;NUM_INSCRICAO_OAB;VARCHAR2;10;N;;6;14709;0;NO;;SYS_C00105385 (C: ENABLED)
